date,campaign_version,region,daily_budget,match_types,clicks,cost,all_conv
2024-06-26,13,B,38.83,Phrase; Exact,4,2.59,0.0
2024-07-11,22,USA,271.84,Phrase; Exact,40,144.74,0.0
2024-07-12,7,A,58.25,Phrase; Exact,33,39.8,1.0
2024-07-12,13,B,38.83,Phrase; Exact,43,21.52,0.0
2024-07-12,4,C,19.42,Phrase; Exact,29,15.66,0.0
2024-07-12,22,USA,271.84,Phrase; Exact,46,218.81,0.0
2024-07-13,7,A,58.25,Phrase; Exact,26,31.86,1.0
2024-07-13,13,B,38.83,Phrase; Exact,59,48.15,0.0
2024-07-13,4,C,19.42,Phrase; Exact,36,20.85,0.0
2024-07-13,22,USA,271.84,Phrase; Exact,39,173.75,0.0
2024-07-14,7,A,58.25,Phrase; Exact,35,45.42,0.0
2024-07-14,13,B,38.83,Phrase; Exact,50,39.24,0.0
2024-07-14,4,C,19.42,Phrase; Exact,30,20.34,0.0
2024-07-14,22,USA,271.84,Phrase; Exact,41,189.21,0.0
2024-07-15,7,A,58.25,Phrase; Exact,50,109.94,0.0
2024-07-15,13,B,38.83,Phrase; Exact,60,44.17,1.0
2024-07-15,4,C,19.42,Phrase; Exact,34,20.6,0.0
2024-07-15,22,USA,271.84,Phrase; Exact,84,518.46,1.0
2024-07-16,7,A,58.25,Phrase; Exact,43,73.94,1.0
2024-07-16,13,B,38.83,Phrase; Exact,74,45.86,1.0
2024-07-16,4,C,19.42,Phrase; Exact,34,20.67,0.0
2024-07-16,22,USA,271.84,Phrase; Exact,62,360.48,0.0
2024-07-17,7,A,58.25,Phrase; Exact,47,57.9,1.0
2024-07-17,13,B,38.83,Phrase; Exact,66,38.57,0.0
2024-07-17,4,C,19.42,Phrase; Exact,28,14.52,0.0
2024-07-17,22,USA,271.84,Phrase; Exact,59,266.53,0.0
2024-07-18,7,A,58.25,Phrase; Exact,42,57.43,0.0
2024-07-18,13,B,38.83,Phrase; Exact,51,29.99,0.0
2024-07-18,4,C,19.42,Phrase; Exact,29,15.39,5.0
2024-07-18,22,USA,271.84,Phrase; Exact,52,263.28,4.0
2024-07-19,7,A,58.25,Phrase; Exact,28,36.5,0.0
2024-07-19,13,B,38.83,Phrase; Exact,35,23.78,0.0
2024-07-19,4,C,19.42,Phrase; Exact,41,22.36,0.0
2024-07-19,22,USA,271.84,Phrase; Exact,36,144.61,0.0
2024-07-20,7,A,58.25,Phrase; Exact,19,20.14,0.0
2024-07-20,13,B,38.83,Phrase; Exact,36,23.47,1.0
2024-07-20,4,C,19.42,Phrase; Exact,33,21.45,0.0
2024-07-20,22,USA,271.84,Phrase; Exact,44,184.88,0.0
2024-07-21,7,A,58.25,Phrase; Exact,39,73.48,0.0
2024-07-21,13,B,38.83,Phrase; Exact,75,62.57,1.0
2024-07-21,4,C,19.42,Phrase; Exact,36,22.85,0.0
2024-07-21,22,USA,271.84,Phrase; Exact,43,218.13,0.0
2024-07-22,7,A,58.25,Phrase; Exact,54,75.09,0.0
2024-07-22,13,B,38.83,Phrase; Exact,61,42.74,0.0
2024-07-22,4,C,19.42,Phrase; Exact,41,18.26,1.0
2024-07-22,22,USA,271.84,Phrase; Exact,67,394.97,1.0
2024-07-23,7,A,58.25,Phrase; Exact,49,68.86,0.0
2024-07-23,13,B,38.83,Phrase; Exact,55,42.44,0.0
2024-07-23,4,C,19.42,Phrase; Exact,31,17.16,0.0
2024-07-23,22,USA,271.84,Phrase; Exact,61,311.94,0.0
2024-07-24,7,A,58.25,Phrase; Exact,59,66.6,2.0
2024-07-24,13,B,38.83,Phrase; Exact,54,41.75,3.0
2024-07-24,4,C,19.42,Phrase; Exact,32,15.59,0.0
2024-07-24,22,USA,271.84,Phrase; Exact,48,313.57,0.0
2024-07-25,7,A,58.25,Phrase; Exact,33,36.55,0.0
2024-07-25,13,B,38.83,Phrase; Exact,54,37.09,0.0
2024-07-25,4,C,19.42,Phrase; Exact,35,19.15,0.0
2024-07-25,22,USA,271.84,Phrase; Exact,60,280.2,0.0
2024-07-26,7,A,58.25,Phrase; Exact,17,17.7,0.0
2024-07-26,13,B,38.83,Phrase; Exact,32,17.52,2.0
2024-07-26,4,C,19.42,Phrase; Exact,15,10.61,0.0
2024-07-26,22,USA,271.84,Phrase; Exact,33,157.16,9.0
2024-07-27,7,A,58.25,Phrase; Exact,18,19.76,1.0
2024-07-27,13,B,38.83,Phrase; Exact,39,20.49,0.0
2024-07-27,4,C,19.42,Phrase; Exact,21,9.29,0.0
2024-07-27,22,USA,271.84,Phrase; Exact,20,95.58,0.0
2024-07-28,7,A,58.25,Phrase; Exact,19,30.17,0.0
2024-07-28,13,B,38.83,Phrase; Exact,32,14.38,0.0
2024-07-28,4,C,19.42,Phrase; Exact,18,10.03,0.0
2024-07-28,22,USA,271.84,Phrase; Exact,22,98.93,0.0
2024-07-29,7,A,58.25,Phrase; Exact,64,109.75,0.0
2024-07-29,13,B,38.83,Phrase; Exact,38,22.73,1.0
2024-07-29,4,C,19.42,Phrase; Exact,54,39.05,0.0
2024-07-29,22,USA,271.84,Phrase; Exact,52,264.84,6.0
2024-07-30,7,A,58.25,Phrase; Exact,49,79.72,0.0
2024-07-30,13,B,38.83,Phrase; Exact,83,77.59,0.0
2024-07-30,4,C,19.42,Phrase; Exact,32,22.32,2.0
2024-07-30,22,USA,271.84,Phrase; Exact,83,504.48,1.0
2024-07-31,7,A,58.25,Phrase; Exact,46,48.85,2.0
2024-07-31,13,B,38.83,Phrase; Exact,54,42.28,0.0
2024-07-31,4,C,19.42,Phrase; Exact,22,14.12,0.0
2024-07-31,22,USA,271.84,Phrase; Exact,43,228.84,0.0
2024-08-01,7,A,58.25,Phrase; Exact,70,90.48,2.0
2024-08-01,13,B,38.83,Phrase; Exact,65,48.83,0.0
2024-08-01,4,C,19.42,Phrase; Exact,16,10.95,0.0
2024-08-01,22,USA,271.84,Phrase; Exact,60,405.3,4.0
2024-08-02,7,A,58.25,Phrase; Exact,36,44.25,3.0
2024-08-02,13,B,38.83,Phrase; Exact,45,33.66,0.0
2024-08-02,4,C,19.42,Phrase; Exact,31,18.8,0.0
2024-08-02,22,USA,271.84,Phrase; Exact,51,257.89,1.0
2024-08-03,7,A,58.25,Phrase; Exact,24,39.42,0.0
2024-08-03,13,B,38.83,Phrase; Exact,50,33.41,0.0
2024-08-03,4,C,19.42,Phrase; Exact,39,27.9,0.0
2024-08-03,22,USA,271.84,Phrase; Exact,45,240.2,0.0
2024-08-04,7,A,58.25,Phrase; Exact,21,32.42,0.0
2024-08-04,13,B,38.83,Phrase; Exact,51,36.66,0.0
2024-08-04,4,C,19.42,Phrase; Exact,26,20.84,0.0
2024-08-04,22,USA,271.84,Phrase; Exact,38,223.04,0.0
2024-08-05,7,A,58.25,Phrase; Exact,42,63.06,0.0
2024-08-05,13,B,38.83,Phrase; Exact,50,30.92,0.0
2024-08-05,4,C,19.42,Phrase; Exact,26,20.35,0.0
2024-08-05,22,USA,271.84,Phrase; Exact,51,221.52,0.0
2024-08-06,7,A,58.25,Phrase; Exact,55,79.12,0.0
2024-08-06,13,B,38.83,Phrase; Exact,73,43.08,0.0
2024-08-06,4,C,19.42,Phrase; Exact,33,21.42,0.0
2024-08-06,22,USA,271.84,Phrase; Exact,58,334.35,0.0
2024-08-07,7,A,58.25,Phrase; Exact,23,40.15,0.0
2024-08-07,13,B,38.83,Phrase; Exact,58,50.88,0.0
2024-08-07,4,C,19.42,Phrase; Exact,29,16.69,0.0
2024-08-07,22,USA,271.84,Phrase; Exact,46,214.21,1.0
2024-08-08,7,A,58.25,Phrase; Exact,21,27.22,0.0
2024-08-08,13,B,38.83,Phrase; Exact,43,38.06,1.0
2024-08-08,4,C,19.42,Phrase; Exact,15,8.04,0.0
2024-08-08,22,USA,271.84,Phrase; Exact,47,264.48,3.0
2024-08-09,7,A,58.25,Phrase; Exact,41,80.47,0.0
2024-08-09,13,B,38.83,Phrase; Exact,62,53.39,1.0
2024-08-09,4,C,19.42,Phrase; Exact,39,27.47,0.0
2024-08-09,22,USA,271.84,Phrase; Exact,62,363.5,0.0
2024-08-10,7,A,58.25,Phrase; Exact,29,68.74,0.0
2024-08-10,13,B,38.83,Phrase; Exact,45,40.9,2.0
2024-08-10,4,C,19.42,Phrase; Exact,38,28.25,0.0
2024-08-10,22,USA,271.84,Phrase; Exact,31,174.86,0.0
2024-08-11,7,A,58.25,Phrase; Exact,39,78.17,0.0
2024-08-11,13,B,38.83,Phrase; Exact,38,26.95,0.0
2024-08-11,4,C,19.42,Phrase; Exact,36,19.4,1.0
2024-08-11,22,USA,271.84,Phrase; Exact,29,131.92,0.0
2024-08-12,7,A,58.25,Phrase; Exact,51,86.19,0.0
2024-08-12,13,B,38.83,Phrase; Exact,49,44.41,0.0
2024-08-12,4,C,19.42,Phrase; Exact,30,21.31,1.0
2024-08-12,22,USA,271.84,Phrase; Exact,64,522.28,2.03
2024-08-13,7,A,58.25,Phrase; Exact,45,70.52,0.0
2024-08-13,13,B,38.83,Phrase; Exact,53,41.33,0.0
2024-08-13,4,C,19.42,Phrase; Exact,26,20.63,1.0
2024-08-13,22,USA,271.84,Phrase; Exact,61,342.26,0.0
2024-08-14,7,A,58.25,Phrase; Exact,31,56.86,0.0
2024-08-14,13,B,38.83,Phrase; Exact,59,44.0,0.98
2024-08-14,4,C,19.42,Phrase; Exact,28,18.2,0.0
2024-08-14,22,USA,271.84,Phrase; Exact,53,304.29,2.0
2024-08-15,7,A,58.25,Phrase; Exact,28,34.62,0.0
2024-08-15,13,B,38.83,Phrase; Exact,57,43.01,0.0
2024-08-15,4,C,19.42,Phrase; Exact,21,13.6,1.0
2024-08-15,22,USA,271.84,Phrase; Exact,52,268.38,0.0
2024-08-16,7,A,58.25,Phrase; Exact,28,39.83,0.0
2024-08-16,13,B,38.83,Phrase; Exact,39,29.37,0.0
2024-08-16,4,C,19.42,Phrase; Exact,36,21.43,0.0
2024-08-16,22,USA,271.84,Phrase; Exact,45,245.16,0.0
2024-08-17,7,A,58.25,Phrase; Exact,28,32.27,1.0
2024-08-17,13,B,38.83,Phrase; Exact,23,15.47,0.0
2024-08-17,4,C,19.42,Phrase; Exact,19,10.76,0.0
2024-08-17,22,USA,271.84,Phrase; Exact,26,131.23,0.0
2024-08-18,7,A,58.25,Phrase; Exact,39,78.36,0.0
2024-08-18,13,B,38.83,Phrase; Exact,23,13.02,0.0
2024-08-18,4,C,19.42,Phrase; Exact,22,14.24,0.0
2024-08-18,22,USA,271.84,Phrase; Exact,37,184.61,0.0
2024-08-19,7,A,58.25,Phrase; Exact,52,80.58,0.0
2024-08-19,13,B,38.83,Phrase; Exact,72,64.79,0.0
2024-08-19,4,C,19.42,Phrase; Exact,30,21.38,0.0
2024-08-19,22,USA,271.84,Phrase; Exact,79,423.71,1.0
2024-08-20,7,A,58.25,Phrase; Exact,48,73.65,0.0
2024-08-20,13,B,38.83,Phrase; Exact,71,56.35,1.0
2024-08-20,4,C,19.42,Phrase; Exact,35,23.06,0.0
2024-08-20,22,USA,271.84,Phrase; Exact,58,297.26,0.0
2024-08-21,7,A,58.25,Phrase; Exact,56,60.33,1.0
2024-08-21,13,B,38.83,Phrase; Exact,55,45.71,0.0
2024-08-21,4,C,19.42,Phrase; Exact,38,25.9,0.0
2024-08-21,22,USA,271.84,Phrase; Exact,41,245.99,3.0
2024-08-22,7,A,58.25,Phrase; Exact,40,48.28,0.0
2024-08-22,13,B,38.83,Phrase; Exact,47,30.03,0.0
2024-08-22,4,C,19.42,Phrase; Exact,26,18.34,1.0
2024-08-22,22,USA,271.84,Phrase; Exact,37,165.35,0.0
2024-08-23,7,A,58.25,Phrase; Exact,52,51.53,2.0
2024-08-23,13,B,38.83,Phrase; Exact,52,45.52,0.0
2024-08-23,4,C,19.42,Phrase; Exact,18,13.04,0.0
2024-08-23,22,USA,271.84,Phrase; Exact,48,301.81,0.0
2024-08-24,7,A,58.25,Phrase; Exact,25,34.16,1.0
2024-08-24,13,B,38.83,Phrase; Exact,56,36.73,0.0
2024-08-24,4,C,19.42,Phrase; Exact,35,23.71,0.0
2024-08-24,22,USA,271.84,Phrase; Exact,41,188.06,0.0
2024-08-25,7,A,58.25,Phrase; Exact,25,28.51,0.0
2024-08-25,13,B,38.83,Phrase; Exact,46,29.76,0.0
2024-08-25,4,C,19.42,Phrase; Exact,28,19.69,0.0
2024-08-25,22,USA,271.84,Phrase; Exact,45,260.68,0.0
2024-08-26,7,A,58.25,Phrase; Exact,59,92.53,1.0
2024-08-26,13,B,38.83,Phrase; Exact,43,36.19,3.0
2024-08-26,4,C,19.42,Phrase; Exact,35,20.84,0.0
2024-08-26,22,USA,271.84,Phrase; Exact,54,375.52,2.0
2024-08-27,7,A,58.25,Phrase; Exact,41,70.98,0.0
2024-08-27,13,B,38.83,Phrase; Exact,66,39.9,0.0
2024-08-27,4,C,19.42,Phrase; Exact,33,20.77,0.0
2024-08-27,22,USA,271.84,Phrase; Exact,53,296.77,1.0
2024-08-28,7,A,58.25,Phrase; Exact,47,69.59,1.0
2024-08-28,13,B,38.83,Phrase; Exact,39,30.17,0.0
2024-08-28,4,C,19.42,Phrase; Exact,32,21.2,1.0
2024-08-28,22,USA,271.84,Phrase; Exact,50,277.26,0.0
2024-08-29,7,A,58.25,Phrase; Exact,42,59.89,1.0
2024-08-29,13,B,38.83,Phrase; Exact,64,41.88,1.0
2024-08-29,4,C,19.42,Phrase; Exact,32,19.64,0.0
2024-08-29,22,USA,271.84,Phrase; Exact,46,291.38,0.0
2024-08-30,7,A,58.25,Phrase; Exact,21,27.85,3.0
2024-08-30,13,B,38.83,Phrase; Exact,46,31.43,0.0
2024-08-30,4,C,19.42,Phrase; Exact,19,11.92,0.0
2024-08-30,22,USA,271.84,Phrase; Exact,30,175.98,0.0
2024-08-31,7,A,58.25,Phrase; Exact,22,27.33,0.0
2024-08-31,13,B,38.83,Phrase; Exact,37,23.58,0.0
2024-08-31,4,C,19.42,Phrase; Exact,19,10.57,0.0
2024-08-31,22,USA,271.84,Phrase; Exact,27,134.09,0.0
2024-09-01,7,A,58.25,Phrase; Exact,24,26.2,2.0
2024-09-01,13,B,38.83,Phrase; Exact,32,15.42,0.0
2024-09-01,4,C,19.42,Phrase; Exact,13,5.44,0.0
2024-09-01,22,USA,271.84,Phrase; Exact,26,107.53,0.0
2024-09-02,7,A,58.25,Phrase; Exact,51,96.23,0.0
2024-09-02,13,B,38.83,Phrase; Exact,80,57.47,0.0
2024-09-02,4,C,19.42,Phrase; Exact,26,17.55,0.0
2024-09-02,22,USA,271.84,Phrase; Exact,42,226.27,0.0
2024-09-03,7,A,58.25,Phrase; Exact,40,85.27,0.0
2024-09-03,13,B,38.83,Phrase; Exact,62,51.86,3.0
2024-09-03,4,C,19.42,Phrase; Exact,58,39.05,0.0
2024-09-03,22,USA,271.84,Phrase; Exact,76,528.44,0.0
2024-09-04,7,A,58.25,Phrase; Exact,59,85.95,0.0
2024-09-04,13,B,38.83,Phrase; Exact,70,47.92,0.0
2024-09-04,4,C,19.42,Phrase; Exact,39,26.44,0.0
2024-09-04,22,USA,271.84,Phrase; Exact,67,368.59,3.0
2024-09-05,7,A,58.25,Phrase; Exact,35,55.08,0.0
2024-09-05,13,B,38.83,Phrase; Exact,66,50.73,0.0
2024-09-05,4,C,19.42,Phrase; Exact,35,23.36,0.0
2024-09-05,22,USA,271.84,Phrase; Exact,66,364.72,2.0
2024-09-06,7,A,58.25,Phrase; Exact,20,33.02,4.0
2024-09-06,13,B,38.83,Phrase; Exact,64,46.91,0.0
2024-09-06,4,C,19.42,Phrase; Exact,33,22.61,1.0
2024-09-06,22,USA,271.84,Phrase; Exact,48,301.87,2.0
2024-09-07,7,A,58.25,Phrase; Exact,21,31.13,1.0
2024-09-07,13,B,38.83,Phrase; Exact,58,32.22,0.0
2024-09-07,4,C,19.42,Phrase; Exact,29,16.88,0.0
2024-09-07,22,USA,271.84,Phrase; Exact,43,227.86,5.0
2024-09-08,7,A,58.25,Phrase; Exact,32,58.67,1.0
2024-09-08,13,B,38.83,Phrase; Exact,53,32.81,1.0
2024-09-08,4,C,19.42,Phrase; Exact,31,17.32,0.0
2024-09-08,22,USA,271.84,Phrase; Exact,46,214.84,0.0
2024-09-09,7,A,58.25,Phrase; Exact,57,90.5,0.0
2024-09-09,13,B,38.83,Phrase; Exact,72,47.41,0.0
2024-09-09,4,C,19.42,Phrase; Exact,53,27.2,0.0
2024-09-09,22,USA,271.84,Phrase; Exact,75,368.29,0.0
2024-09-10,7,A,58.25,Phrase; Exact,49,72.41,2.0
2024-09-10,13,B,38.83,Phrase; Exact,72,44.78,1.0
2024-09-10,4,C,19.42,Phrase; Exact,44,21.13,0.0
2024-09-10,22,USA,271.84,Phrase; Exact,51,325.06,1.0
2024-09-11,7,A,58.25,Phrase; Exact,55,74.6,0.0
2024-09-11,13,B,38.83,Phrase; Exact,67,44.12,2.0
2024-09-11,4,C,19.42,Phrase; Exact,39,19.06,0.0
2024-09-11,22,USA,271.84,Phrase; Exact,44,221.93,0.0
2024-09-12,7,A,58.25,Phrase; Exact,44,58.92,6.0
2024-09-12,13,B,38.83,Phrase; Exact,63,41.78,1.0
2024-09-12,4,C,19.42,Phrase; Exact,33,20.78,0.0
2024-09-12,22,USA,271.84,Phrase; Exact,53,278.65,3.0
2024-09-13,7,A,58.25,Phrase; Exact,28,39.33,0.0
2024-09-13,13,B,38.83,Phrase; Exact,54,33.85,2.0
2024-09-13,4,C,19.42,Phrase; Exact,22,15.3,0.0
2024-09-13,22,USA,271.84,Phrase; Exact,43,196.4,3.0
2024-09-14,7,A,58.25,Phrase; Exact,19,28.14,0.0
2024-09-14,13,B,38.83,Phrase; Exact,34,17.46,0.0
2024-09-14,4,C,19.42,Phrase; Exact,21,11.34,0.0
2024-09-14,22,USA,271.84,Phrase; Exact,36,162.8,0.0
2024-09-15,7,A,58.25,Phrase; Exact,29,44.4,1.0
2024-09-15,13,B,38.83,Phrase; Exact,27,14.87,0.0
2024-09-15,4,C,19.42,Phrase; Exact,33,16.88,0.0
2024-09-15,22,USA,271.84,Phrase; Exact,36,175.4,2.0
2024-09-16,7,A,58.25,Phrase; Exact,59,117.71,1.0
2024-09-16,13,B,38.83,Phrase; Exact,75,50.19,0.0
2024-09-16,4,C,19.42,Phrase; Exact,29,16.28,0.0
2024-09-16,22,USA,271.84,Phrase; Exact,83,534.62,2.98
2024-09-17,7,A,58.25,Phrase; Exact,52,66.33,1.0
2024-09-17,13,B,38.83,Phrase; Exact,54,44.5,2.0
2024-09-17,4,C,19.42,Phrase; Exact,37,23.3,0.0
2024-09-17,22,USA,271.84,Phrase; Exact,65,357.04,1.0
2024-09-18,7,A,58.25,Phrase; Exact,47,59.04,1.0
2024-09-18,13,B,38.83,Phrase; Exact,76,52.01,0.0
2024-09-18,4,C,19.42,Phrase; Exact,40,21.66,1.0
2024-09-18,22,USA,271.84,Phrase; Exact,51,277.4,0.0
2024-09-19,7,A,58.25,Phrase; Exact,50,60.39,5.0
2024-09-19,13,B,38.83,Phrase; Exact,79,52.07,0.0
2024-09-19,4,C,19.42,Phrase; Exact,41,23.26,0.0
2024-09-19,22,USA,271.84,Phrase; Exact,54,264.62,0.0
2024-09-20,7,A,58.25,Phrase; Exact,29,32.94,0.0
2024-09-20,13,B,38.83,Phrase; Exact,55,31.38,0.0
2024-09-20,4,C,19.42,Phrase; Exact,30,15.81,0.0
2024-09-20,22,USA,271.84,Phrase; Exact,49,233.68,0.0
2024-09-21,7,A,58.25,Phrase; Exact,23,25.64,2.0
2024-09-21,13,B,38.83,Phrase; Exact,49,29.49,1.0
2024-09-21,4,C,19.42,Phrase; Exact,30,17.4,0.0
2024-09-21,22,USA,271.84,Phrase; Exact,25,114.63,3.0
2024-09-22,7,A,58.25,Phrase; Exact,21,20.27,0.0
2024-09-22,13,B,38.83,Phrase; Exact,45,33.47,1.0
2024-09-22,4,C,19.42,Phrase; Exact,37,17.63,0.0
2024-09-22,22,USA,271.84,Phrase; Exact,34,134.87,1.0
2024-09-23,7,A,58.25,Phrase; Exact,44,70.4,15.0
2024-09-23,13,B,38.83,Phrase; Exact,82,55.72,3.0
2024-09-23,4,C,19.42,Phrase; Exact,42,26.95,1.0
2024-09-23,22,USA,271.84,Phrase; Exact,81,534.87,12.0
2024-09-24,7,A,58.25,Phrase; Exact,66,84.39,3.0
2024-09-24,13,B,38.83,Phrase; Exact,70,46.03,3.0
2024-09-24,4,C,19.42,Phrase; Exact,46,24.78,0.0
2024-09-24,22,USA,271.84,Phrase; Exact,64,343.03,6.0
2024-09-25,7,A,58.25,Phrase; Exact,54,75.19,0.0
2024-09-25,13,B,38.83,Phrase; Exact,69,40.28,2.0
2024-09-25,4,C,19.42,Phrase; Exact,35,22.33,0.0
2024-09-25,22,USA,271.84,Phrase; Exact,53,307.62,0.0
2024-09-26,7,A,58.25,Phrase; Exact,59,81.37,10.0
2024-09-26,13,B,38.83,Phrase; Exact,57,33.09,0.0
2024-09-26,4,C,19.42,Phrase; Exact,35,19.35,0.0
2024-09-26,22,USA,271.84,Phrase; Exact,57,277.09,0.0
2024-09-27,7,A,58.25,Phrase; Exact,46,60.58,5.0
2024-09-27,13,B,38.83,Phrase; Exact,57,34.79,1.0
2024-09-27,4,C,19.42,Phrase; Exact,26,10.55,0.0
2024-09-27,22,USA,271.84,Phrase; Exact,39,204.21,0.0
2024-09-28,7,A,58.25,Phrase; Exact,25,31.89,0.0
2024-09-28,13,B,38.83,Phrase; Exact,48,25.32,2.0
2024-09-28,4,C,19.42,Phrase; Exact,25,8.61,0.0
2024-09-28,22,USA,271.84,Phrase; Exact,33,109.48,0.0
2024-09-29,7,A,58.25,Phrase; Exact,34,46.35,2.0
2024-09-29,13,B,38.83,Phrase; Exact,57,32.81,1.0
2024-09-29,4,C,19.42,Phrase; Exact,34,18.94,0.0
2024-09-29,22,USA,271.84,Phrase; Exact,40,196.12,0.0
2024-09-30,7,A,58.25,Phrase; Exact,31,42.46,2.0
2024-09-30,13,B,38.83,Phrase; Exact,67,39.67,0.0
2024-09-30,4,C,19.42,Phrase; Exact,36,20.09,0.0
2024-09-30,22,USA,271.84,Phrase; Exact,60,305.99,1.0
2024-10-01,7,A,58.25,Phrase; Exact,59,71.9,0.0
2024-10-01,13,B,38.83,Phrase; Exact,76,42.32,1.0
2024-10-01,4,C,19.42,Phrase; Exact,32,17.62,0.0
2024-10-01,22,USA,271.84,Phrase; Exact,63,344.74,0.0
2024-10-02,7,A,58.25,Phrase; Exact,48,49.8,1.0
2024-10-02,13,B,38.83,Phrase; Exact,68,34.32,0.0
2024-10-02,4,C,19.42,Phrase; Exact,36,23.36,0.0
2024-10-02,22,USA,271.84,Phrase; Exact,70,355.73,3.0
2024-10-03,7,A,58.25,Phrase; Exact,42,76.01,3.0
2024-10-03,13,B,38.83,Phrase; Exact,60,30.76,0.0
2024-10-03,4,C,19.42,Phrase; Exact,44,21.4,0.0
2024-10-03,22,USA,271.84,Phrase; Exact,62,316.01,7.0
2024-10-04,7,A,58.25,Phrase; Exact,33,40.68,0.0
2024-10-04,13,B,38.83,Phrase; Exact,77,45.38,3.0
2024-10-04,4,C,19.42,Phrase; Exact,38,22.09,2.0
2024-10-04,22,USA,271.84,Phrase; Exact,31,159.21,0.0
2024-10-05,7,A,58.25,Phrase; Exact,19,22.72,0.0
2024-10-05,13,B,38.83,Phrase; Exact,63,39.73,0.0
2024-10-05,4,C,19.42,Phrase; Exact,32,15.31,0.0
2024-10-05,22,USA,271.84,Phrase; Exact,22,85.36,0.0
