keyword_set_id,n_positive,embed_cohesion,embed_dispersion,embed_course_sim_mean,embed_course_sim_p90,last_month_searches_mean,competition_index_mean,bid_low_mean,num_unique_keywords
synthetic_A_Broad_semantic_2,9,0.5102607779685387,0.24855056917870869,0.6243908560705176,0.8836844467524695,1081.4285714285713,33.714285714285715,0.393606,
synthetic_A_Broad_dispersion_3,9,0.4353981204108892,0.29421556932300835,0.5526003413967191,0.8212000092178212,10196.25,38.5,0.561358375,
synthetic_B_Broad_top_4,11,0.4423266153589334,0.2978431829146397,0.5630825084176391,0.878844483982219,9061.111111111111,38.57142857142857,0.5856528571428571,
synthetic_B_Broad_semantic_5,9,0.5128344825929168,0.24702989134658793,0.6225665016953756,0.8836844467524695,135.71428571428572,37.0,0.44445739999999995,
synthetic_B_Broad_dispersion_6,9,0.3788862814122721,0.3307474939833473,0.510909551703227,0.7001905743723607,9061.111111111111,38.57142857142857,0.5856528571428571,
synthetic_C_Broad_top_7,9,0.40980817883864257,0.31051827590922176,0.5250275494482908,0.8163600464475709,10175.0,39.285714285714285,0.5824225714285713,
synthetic_C_Phrase; Exact_top_8,52,0.3436140813550521,0.40314416524453234,0.43726156948550216,0.7647572507400833,11154.255319148937,36.26086956521739,0.6342792142857144,
synthetic_C_Phrase; Exact_semantic_9,30,0.4094328973374479,0.34492865470630646,0.5630990415986841,0.8462146749167172,3738.8888888888887,29.846153846153847,0.36796316666666673,
synthetic_C_Phrase; Exact_dispersion_10,30,0.2646276471036574,0.4622825473673061,0.39771726872034546,0.5463017186685004,6535.666666666667,35.06896551724138,0.6637000384615384,
synthetic_C_Phrase; Exact_composite_11,30,0.2700226673547684,0.45745484509718054,0.4326889512682191,0.7876289049081528,6526.333333333333,34.06896551724138,0.669144653846154,
synthetic_A_Phrase; Exact_top_12,59,0.4092577216783124,0.3524891486117622,0.5711306373954813,0.8707170107223503,4471.923076923077,35.73809523809524,0.7602602564102564,
synthetic_A_Phrase; Exact_semantic_13,30,0.6351600857190711,0.19543712725884949,0.7749595630188548,0.9009187841609542,4665.416666666667,34.05882352941177,0.8035798235294117,
synthetic_A_Phrase; Exact_dispersion_14,30,0.2781582545065379,0.45025492633231623,0.4190011869774221,0.5893089413383722,6625.517241379311,32.15384615384615,0.6339356956521737,
synthetic_A_Phrase; Exact_composite_15,30,0.28028425307187615,0.4483889250854574,0.47127240692775746,0.8320840462121233,6366.333333333333,33.7037037037037,0.756970625,
synthetic_B_Phrase; Exact_top_16,58,0.38413174964733676,0.37170853280057287,0.5438115212137846,0.8992691780775138,11735.849056603774,36.411764705882355,0.7343664347826087,
synthetic_B_Phrase; Exact_semantic_17,30,0.5737332089669407,0.23322617285157507,0.7378871379774548,0.9013679295217946,7144.074074074074,34.4,0.6345014800000001,
synthetic_B_Phrase; Exact_dispersion_18,30,0.26703485720400433,0.4601231356786459,0.4208625224597775,0.5893089413383722,16797.666666666668,33.3,0.6288885,
synthetic_B_Phrase; Exact_composite_19,30,0.27330118083686517,0.4545419587100409,0.46868768744963574,0.8274978194605197,16779.666666666668,33.310344827586206,0.727779653846154,
synthetic_USA_Broad_top_20,12,0.466312709756262,0.28530660377440364,0.5828872108048283,0.871033929290388,8157.0,38.5,0.561358375,
synthetic_USA_Broad_semantic_21,10,0.5413494814203484,0.23370075474604501,0.640383745232229,0.8812644653673443,121.25,37.166666666666664,0.43559733333333334,
synthetic_USA_Broad_dispersion_22,10,0.4093986556162958,0.31555950583465825,0.5315063108611812,0.7354938587378381,9061.111111111111,38.57142857142857,0.5856528571428571,
synthetic_USA_Broad_composite_23,10,0.4102254697774382,0.3150161149353042,0.5398924902392952,0.810969473140865,8157.0,38.5,0.561358375,
synthetic_USA_Phrase; Exact_top_24,55,0.3796430151814643,0.37476225874791813,0.5556602904086442,0.8854492907767448,4969.166666666667,32.23255813953488,0.7405926410256409,
synthetic_USA_Phrase; Exact_semantic_25,30,0.5603529015298141,0.24170730927257575,0.7240614477357354,0.9009187841609542,4677.2,34.76190476190476,0.7026322380952381,
synthetic_USA_Phrase; Exact_dispersion_26,30,0.2696659913040124,0.4577726876489337,0.4274618157557996,0.5646518741287433,6665.862068965517,28.642857142857142,0.7438082083333332,
synthetic_USA_Phrase; Exact_composite_27,30,0.2742356581198,0.45371454087807944,0.4722654781114259,0.8274978194605197,6612.758620689655,30.88888888888889,0.8798988695652173,
