campaign_version,keyword_set_id,campaign,start_date,end_date,change_type,daily_budget,match_types,num_unique_keywords,broad_keyword_count,phrase_keyword_count,exact_keyword_count,num_negative_keywords
37,ks_0018,Course - System Thinking - Run 19 - Search - Prospecting - B,2026-04-29,2026-05-02,campaign_active,61.90,Phrase; Exact,6,0,5,2,1338
38,ks_0019,Course - System Thinking - Run 19 - Search - Prospecting - B,2026-05-02,2026-05-12,exact_keyword_remove;phrase_keyword_remove,61.90,Phrase; Exact,18,0,12,11,1338
39,ks_0019,Course - System Thinking - Run 19 - Search - Prospecting - B,2026-05-12,,daily_budget,36.36,Phrase; Exact,18,0,12,11,1338
40,ks_0020,Course - System Thinking - Run 19 - Search - Prospecting - USA,2025-10-20,2026-02-11,raw_keyword_coverage,232.14,Broad; Phrase; Exact,39,6,8,37,0
41,ks_0020,Course - System Thinking - Run 19 - Search - Prospecting - USA,2026-02-11,2026-03-31,daily_budget,198.10,Broad; Phrase; Exact,39,6,8,37,0
42,ks_0021,Course - System Thinking - Run 19 - Search - Prospecting - USA,2026-03-31,2026-04-06,exact_keyword_remove,198.10,Exact,18,0,0,18,0
43,ks_0022,Course - System Thinking - Run 19 - Search - Prospecting - USA,2026-04-06,2026-04-22,campaign_paused,198.10,Exact,7,0,0,7,0
44,ks_0023,Course - System Thinking - Run 19 - Search - Prospecting - USA,2026-04-29,2026-05-02,campaign_active,198.10,Phrase; Exact,14,0,9,10,1338
45,ks_0024,Course - System Thinking - Run 19 - Search - Prospecting - USA,2026-05-02,2026-05-05,exact_keyword_remove;phrase_keyword_remove,198.10,Phrase; Exact,14,0,11,9,1338
46,ks_0025,Course - System Thinking - Run 19 - Search - Prospecting - USA,2026-05-05,2026-05-12,negative_exact_keyword_add,198.10,Phrase; Exact,22,0,16,13,1339
47,ks_0025,Course - System Thinking - Run 19 - Search - Prospecting - USA,2026-05-12,,daily_budget,240.00,Phrase; Exact,22,0,16,13,1339
