date,region,keyword,campaign,match_type,clicks,cost,all_conv,currency_code,first_page_cpc
2024-06-29,A,system dynamics course,Course - System Thinking - Run 16 - Search - Lead Gen - A - Exact & Phrase,Phrase,1,0.55,0.0,USD,
2024-06-29,A,systems thinking course,Course - System Thinking - Run 16 - Search - Lead Gen - A - Exact & Phrase,Exact,1,1.31,0.0,USD,
2024-06-29,A,systems thinking courses,Course - System Thinking - Run 16 - Search - Lead Gen - A - Exact & Phrase,Phrase,3,2.31,0.0,USD,
2024-06-29,B,best project management certification,Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Phrase,3,3.39,0.0,USD,
2024-06-29,B,construction management courses,Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Phrase,3,0.99,0.0,USD,
2024-06-29,B,critical thinking short course,Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Phrase,1,0.37,0.0,USD,
2024-06-29,B,lms learning program,Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Phrase,2,0.65,0.0,USD,
2024-06-29,B,pmp certification,Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Phrase,3,1.41,0.0,USD,
2024-06-29,B,pmp training,Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Phrase,3,2.21,0.0,USD,
2024-06-29,B,product development courses,Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Phrase,1,0.49,0.0,USD,
2024-06-29,B,project management cert,Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Exact,1,0.83,0.0,USD,
2024-06-29,B,project management cert,Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Phrase,47,37.15,0.0,USD,
2024-06-29,B,project management online course,Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Exact,1,0.62,0.0,USD,
2024-06-29,B,project management online course,Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Phrase,2,0.93,0.0,USD,
2024-06-29,B,project manager course,Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Phrase,8,7.31,0.0,USD,
2024-06-29,B,skills for a project manager,Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Phrase,1,0.5,0.0,USD,
2024-06-29,B,system architecture course,Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Phrase,1,1.25,0.0,USD,
2024-06-29,B,system dynamics course,Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Phrase,1,0.78,0.0,USD,
2024-06-29,B,system engineering online course,Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Phrase,1,0.24,0.0,USD,
2024-06-29,B,system thinking training,Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Phrase,1,0.2,0.0,USD,
2024-06-29,B,systems design engineering,Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Phrase,3,3.3,0.0,USD,
2024-06-29,B,systems thinking certificate,Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Phrase,1,0.73,0.0,USD,
2024-06-29,B,systems thinking course,Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Exact,1,1.04,0.0,USD,
2024-06-29,B,systems thinking courses,Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Phrase,1,1.47,0.0,USD,
2024-06-29,B,systems thinking in business,Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Phrase,1,0.67,0.0,USD,
2024-06-29,B,systems thinking mit,Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Exact,1,0.42,0.0,USD,
2024-06-29,C,best critical thinking courses,Course - System Thinking - Run 14 - Search - Lead Gen - C - Exact & Phrase,Exact,1,0.45,0.0,USD,
2024-06-29,C,project management cert,Course - System Thinking - Run 14 - Search - Lead Gen - C - Exact & Phrase,Phrase,6,3.65,0.0,USD,
2024-06-29,C,project management online course,Course - System Thinking - Run 14 - Search - Lead Gen - C - Exact & Phrase,Phrase,2,0.4,0.0,USD,
2024-06-29,C,project manager course,Course - System Thinking - Run 14 - Search - Lead Gen - C - Exact & Phrase,Phrase,1,0.43,0.0,USD,
2024-06-29,C,system design,Course - System Thinking - Run 14 - Search - Lead Gen - C - Exact & Phrase,Phrase,3,0.96,0.0,USD,
2024-06-29,C,system design certification,Course - System Thinking - Run 14 - Search - Lead Gen - C - Exact & Phrase,Phrase,1,0.24,0.0,USD,
2024-06-29,C,systems thinking courses,Course - System Thinking - Run 14 - Search - Lead Gen - C - Exact & Phrase,Phrase,1,0.2,0.0,USD,
2024-06-29,USA,system architecture course,Course - System Thinking - Run 16 - Search - Lead Gen - US - Exact,Exact,1,1.22,0.0,USD,
2024-06-29,USA,systems thinking courses,Course - System Thinking - Run 16 - Search - Lead Gen - US - Exact,Phrase,1,0.73,0.0,USD,
2024-06-29,USA,systems thinking education,Course - System Thinking - Run 16 - Search - Lead Gen - US - Exact,Phrase,2,2.86,0.0,USD,
2024-06-29,USA,systems thinking mit,Course - System Thinking - Run 16 - Search - Lead Gen - US - Exact,Exact,1,3.16,0.0,USD,
2024-06-30,A,construction management courses,Course - System Thinking - Run 16 - Search - Lead Gen - A - Exact & Phrase,Phrase,1,0.84,0.0,USD,
2024-06-30,A,critical thinking class,Course - System Thinking - Run 16 - Search - Lead Gen - A - Exact & Phrase,Phrase,4,26.37,0.0,USD,
2024-06-30,A,lms learning program,Course - System Thinking - Run 16 - Search - Lead Gen - A - Exact & Phrase,Exact,1,2.96,0.0,USD,
2024-06-30,A,lms learning program,Course - System Thinking - Run 16 - Search - Lead Gen - A - Exact & Phrase,Phrase,4,6.1,0.0,USD,
2024-06-30,A,pmp certification,Course - System Thinking - Run 16 - Search - Lead Gen - A - Exact & Phrase,Phrase,2,3.4,0.0,USD,
2024-06-30,A,pmp training,Course - System Thinking - Run 16 - Search - Lead Gen - A - Exact & Phrase,Phrase,1,1.44,0.0,USD,
2024-06-30,A,project management cert,Course - System Thinking - Run 16 - Search - Lead Gen - A - Exact & Phrase,Phrase,9,26.56,0.0,USD,
2024-06-30,A,project management online course,Course - System Thinking - Run 16 - Search - Lead Gen - A - Exact & Phrase,Phrase,1,1.94,0.0,USD,
2024-06-30,A,system design,Course - System Thinking - Run 16 - Search - Lead Gen - A - Exact & Phrase,Phrase,2,1.77,0.0,USD,
2024-06-30,A,system design certification,Course - System Thinking - Run 16 - Search - Lead Gen - A - Exact & Phrase,Phrase,1,2.93,0.0,USD,
2024-06-30,A,systems thinking courses,Course - System Thinking - Run 16 - Search - Lead Gen - A - Exact & Phrase,Phrase,4,6.66,0.0,USD,
2024-06-30,A,systems thinking mit,Course - System Thinking - Run 16 - Search - Lead Gen - A - Exact & Phrase,Exact,1,1.27,0.0,USD,
2024-06-30,B,how to develop problem solving skills,Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Phrase,1,0.76,0.0,USD,
2024-06-30,B,pmp certification,Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Phrase,1,0.44,0.0,USD,
2024-06-30,B,product management courses,Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Phrase,1,0.63,0.0,USD,
2024-06-30,B,project management cert,Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Phrase,40,27.78,0.0,USD,
2024-06-30,B,project management online course,Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Phrase,1,0.43,0.0,USD,
2024-06-30,B,project manager course,Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Phrase,2,0.77,0.0,USD,
2024-06-30,B,skills for a project manager,Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Exact,2,0.54,0.0,USD,
2024-06-30,B,system dynamics course,Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Phrase,1,0.9,0.0,USD,
2024-06-30,B,systems thinking courses,Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Phrase,2,1.63,0.0,USD,
2024-06-30,B,technical project management,Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Phrase,2,1.31,0.0,USD,
2024-06-30,C,critical thinking and problem solving,Course - System Thinking - Run 14 - Search - Lead Gen - C - Exact & Phrase,Phrase,2,1.36,0.0,USD,
2024-06-30,C,pmp training,Course - System Thinking - Run 14 - Search - Lead Gen - C - Exact & Phrase,Phrase,1,0.27,0.0,USD,
2024-06-30,C,project management cert,Course - System Thinking - Run 14 - Search - Lead Gen - C - Exact & Phrase,Exact,1,0.88,0.0,USD,
2024-06-30,C,project management cert,Course - System Thinking - Run 14 - Search - Lead Gen - C - Exact & Phrase,Phrase,19,19.15,0.0,USD,
2024-06-30,C,project management online course,Course - System Thinking - Run 14 - Search - Lead Gen - C - Exact & Phrase,Phrase,1,1.02,0.0,USD,
2024-06-30,C,project management techniques,Course - System Thinking - Run 14 - Search - Lead Gen - C - Exact & Phrase,Phrase,1,0.32,0.0,USD,
2024-06-30,C,project management training,Course - System Thinking - Run 14 - Search - Lead Gen - C - Exact & Phrase,Exact,1,0.54,0.0,USD,
2024-06-30,C,project management training,Course - System Thinking - Run 14 - Search - Lead Gen - C - Exact & Phrase,Phrase,1,0.59,0.0,USD,
2024-06-30,C,project manager course,Course - System Thinking - Run 14 - Search - Lead Gen - C - Exact & Phrase,Exact,1,0.18,0.0,USD,
2024-06-30,C,project manager course,Course - System Thinking - Run 14 - Search - Lead Gen - C - Exact & Phrase,Phrase,5,2.28,0.0,USD,
2024-06-30,C,strategic thinking workshop,Course - System Thinking - Run 14 - Search - Lead Gen - C - Exact & Phrase,Phrase,1,0.46,0.0,USD,
2024-06-30,C,system architecture course,Course - System Thinking - Run 14 - Search - Lead Gen - C - Exact & Phrase,Phrase,3,1.96,0.0,USD,
2024-06-30,C,system design,Course - System Thinking - Run 14 - Search - Lead Gen - C - Exact & Phrase,Exact,1,0.39,0.0,USD,
2024-06-30,C,system design,Course - System Thinking - Run 14 - Search - Lead Gen - C - Exact & Phrase,Phrase,2,1.32,0.0,USD,
2024-06-30,C,system design and architecture,Course - System Thinking - Run 14 - Search - Lead Gen - C - Exact & Phrase,Phrase,1,0.38,0.0,USD,
2024-06-30,C,system dynamics course,Course - System Thinking - Run 14 - Search - Lead Gen - C - Exact & Phrase,Phrase,1,0.48,0.0,USD,
2024-06-30,C,system engineering online course,Course - System Thinking - Run 14 - Search - Lead Gen - C - Exact & Phrase,Phrase,2,2.12,0.0,USD,
2024-06-30,C,systems thinking certificate,Course - System Thinking - Run 14 - Search - Lead Gen - C - Exact & Phrase,Phrase,1,0.48,0.0,USD,
2024-06-30,C,technical project management,Course - System Thinking - Run 14 - Search - Lead Gen - C - Exact & Phrase,Phrase,3,3.27,0.0,USD,
2024-06-30,C,togaf course,Course - System Thinking - Run 14 - Search - Lead Gen - C - Exact & Phrase,Phrase,1,0.33,0.0,USD,
2024-06-30,C,what is system thinking,Course - System Thinking - Run 14 - Search - Lead Gen - C - Exact & Phrase,Phrase,1,1.06,0.0,USD,
2024-06-30,USA,critical thinking class,Course - System Thinking - Run 16 - Search - Lead Gen - US - Exact,Phrase,1,12.91,0.0,USD,
2024-06-30,USA,mit systems thinking,Course - System Thinking - Run 16 - Search - Lead Gen - US - Exact,Exact,1,2.24,0.0,USD,
2024-06-30,USA,project management training,Course - System Thinking - Run 16 - Search - Lead Gen - US - Exact,Phrase,1,4.8,0.0,USD,
2024-06-30,USA,system design,Course - System Thinking - Run 16 - Search - Lead Gen - US - Exact,Phrase,4,7.56,0.0,USD,
2024-06-30,USA,system dynamics course,Course - System Thinking - Run 16 - Search - Lead Gen - US - Exact,Exact,1,1.02,0.0,USD,
2024-06-30,USA,systems thinking certificate,Course - System Thinking - Run 16 - Search - Lead Gen - US - Exact,Phrase,1,4.51,0.0,USD,
2024-06-30,USA,systems thinking courses,Course - System Thinking - Run 16 - Search - Lead Gen - US - Exact,Phrase,1,1.65,0.0,USD,
2024-06-30,USA,systems thinking in healthcare,Course - System Thinking - Run 16 - Search - Lead Gen - US - Exact,Phrase,1,3.3,0.0,USD,
2024-07-01,A,best course on system design,Course - System Thinking - Run 16 - Search - Lead Gen - A - Exact & Phrase,Exact,1,0.36,0.0,USD,
2024-07-01,A,construction management courses,Course - System Thinking - Run 16 - Search - Lead Gen - A - Exact & Phrase,Phrase,1,1.09,0.0,USD,
2024-07-01,A,critical thinking class,Course - System Thinking - Run 16 - Search - Lead Gen - A - Exact & Phrase,Phrase,6,13.51,0.0,USD,
2024-07-01,A,engineering manager course,Course - System Thinking - Run 16 - Search - Lead Gen - A - Exact & Phrase,Phrase,1,2.41,0.0,USD,
2024-07-01,A,learn product management,Course - System Thinking - Run 16 - Search - Lead Gen - A - Exact & Phrase,Phrase,2,3.67,0.0,USD,
2024-07-01,A,lms learning program,Course - System Thinking - Run 16 - Search - Lead Gen - A - Exact & Phrase,Phrase,4,7.58,0.0,USD,
2024-07-01,A,pmp training,Course - System Thinking - Run 16 - Search - Lead Gen - A - Exact & Phrase,Phrase,2,3.71,0.0,USD,
2024-07-01,A,product management certification,Course - System Thinking - Run 16 - Search - Lead Gen - A - Exact & Phrase,Phrase,1,1.32,0.0,USD,
2024-07-01,A,product management courses,Course - System Thinking - Run 16 - Search - Lead Gen - A - Exact & Phrase,Exact,1,3.3,0.0,USD,
2024-07-01,A,project management cert,Course - System Thinking - Run 16 - Search - Lead Gen - A - Exact & Phrase,Phrase,4,7.42,0.0,USD,
2024-07-01,A,project management training,Course - System Thinking - Run 16 - Search - Lead Gen - A - Exact & Phrase,Phrase,1,2.47,0.0,USD,
2024-07-01,A,project manager course,Course - System Thinking - Run 16 - Search - Lead Gen - A - Exact & Phrase,Phrase,1,1.68,0.0,USD,
2024-07-01,A,system dynamics course,Course - System Thinking - Run 16 - Search - Lead Gen - A - Exact & Phrase,Phrase,2,3.94,0.0,USD,
2024-07-01,A,systems thinking certification,Course - System Thinking - Run 16 - Search - Lead Gen - A - Exact & Phrase,Exact,1,0.65,0.0,USD,
2024-07-01,A,systems thinking course,Course - System Thinking - Run 16 - Search - Lead Gen - A - Exact & Phrase,Exact,1,0.95,0.0,USD,
2024-07-01,A,systems thinking courses,Course - System Thinking - Run 16 - Search - Lead Gen - A - Exact & Phrase,Phrase,2,4.67,0.0,USD,
2024-07-01,A,systems thinking in business,Course - System Thinking - Run 16 - Search - Lead Gen - A - Exact & Phrase,Phrase,2,3.71,0.0,USD,
2024-07-01,A,systems thinking mit,Course - System Thinking - Run 16 - Search - Lead Gen - A - Exact & Phrase,Exact,2,2.76,0.0,USD,
2024-07-01,A,the systems thinker,Course - System Thinking - Run 16 - Search - Lead Gen - A - Exact & Phrase,Phrase,2,2.8,0.0,USD,
2024-07-01,A,what is system thinking,Course - System Thinking - Run 16 - Search - Lead Gen - A - Exact & Phrase,Phrase,1,1.6,0.0,USD,
2024-07-01,B,construction management courses,Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Phrase,1,0.81,0.0,USD,
2024-07-01,B,critical thinking and problem solving,Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Phrase,6,3.87,0.0,USD,
2024-07-01,B,lms learning program,Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Exact,1,0.43,0.0,USD,
2024-07-01,B,lms learning program,Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Phrase,1,0.11,0.0,USD,
